major1,major2,major3,minor1,minor2,minor3
ENG,DMF,NA,NA,NA,NA
ECON,SOC,NA,NA,NA,NA
HIST,NA,NA,POLS,NA,NA
PSYC,NA,NA,NA,NA,NA
PSYC,NA,NA,PHIL,NA,NA
POLS,NA,NA,NA,NA,NA
BIMED,NA,NA,AFS,MATH,NA
STAT,NA,NA,PCA,NA,NA
PCA,NA,NA,NA,NA,NA
BI_PH,NA,NA,CHEM,NA,NA
MATH,PSYC,NA,NA,NA,NA
BIOCH,NA,NA,MATH,NA,NA
POLS,NA,NA,AFS,HIST,NA
BIMED,NA,NA,NA,NA,NA
FINC,POLS,NA,NA,NA,NA
EC_MA,NA,NA,STATS,NA,NA
ECON,NA,NA,NA,NA,NA
FINC,NA,NA,NA,NA,NA
ENVS,NA,NA,DMF,OUTDR,NA
SOC,NA,NA,NA,NA,NA
PHIL,NA,NA,EDUCS,NA,NA
STAT,MATH,NA,NA,NA,NA
FINC,BUSLA,NA,NA,NA,NA
MUS,ENVS,NA,OUTDR,NA,NA
SOC,NA,NA,GS,EDUCS,NA
PHIL,NA,NA,NA,NA,NA
POLS,REL,NA,NA,NA,NA
CHEM,ENG,NA,NA,NA,NA
FINC,NA,NA,GRST,NA,NA
BIOL,NA,NA,PUB,GNDR,NA
ART,NA,NA,EDUCS,NA,NA
HIST,POLS,NA,EUR,NA,NA
ECON,GOVT,NA,NA,NA,NA
SOC,NA,NA,ENG,NA,NA
MATH,NA,NA,STATS,NA,NA
POLS,NA,NA,HIST,NA,NA
NRSCI,NA,NA,GRST,NA,NA
FINC,POLS,NA,NA,NA,NA
POLS,BUSLA,FINC,NA,NA,NA
MULTL,NA,NA,AS,HISP,CHIN
PSYC,ENG,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
PCA,NA,NA,AFS,GS,NA
PSYC,PHIL,NA,NA,NA,NA
MATH,STAT,CS,NA,NA,NA
ECON,BUSLA,NA,AS,NA,NA
POLS,NA,NA,AS,NA,GS
PCA,HISP,NA,CLAS,NA,NA
PCA,NA,NA,NA,NA,NA
PSYC,NA,NA,NA,NA,NA
BIOCH,NA,NA,NA,NA,NA
PHYS,MATH,NA,NA,NA,NA
GOVT,NA,NA,EDUCS,NA,NA
GS,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ART,NA,NA,NA,NA,NA
EN_PH,NA,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
PSYC,NA,NA,SSES,NA,NA
ENVS,NA,NA,NA,NA,NA
PCA,NA,NA,DMF,NA,NA
ECON,BUSLA,NA,NA,NA,NA
MULTL,GOVT,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
FINC,BUSLA,NA,NA,NA,NA
HIST,NA,NA,NA,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
CS,PHIL,NA,MATH,NA,NA
PSYC,NA,NA,SSES,NA,NA
ENVS,FRST,NA,NA,NA,NA
BIMED,NA,NA,CHEM,NA,NA
EN_GO,NA,NA,NA,NA,NA
PSYC,NA,NA,SOC,EDUCS,NA
HISP,GS,NA,ITAL,EUR,NA
GOVT,NA,NA,NA,NA,NA
BIOL,NA,NA,SSES,NA,NA
DATA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
BIOL,NA,NA,NA,NA,NA
MATH,NA,NA,NA,NA,NA
EN_GO,NA,NA,NA,NA,NA
PHIL,PSYC,NA,NA,NA,NA
POLS,NA,NA,PCA,GRST,NA
BIOL,NA,NA,NA,NA,NA
PSYC,NA,NA,EDUCS,NA,NA
ART,NA,NA,NA,NA,NA
BIOL,NA,NA,STATS,NA,NA
GS,HISP,NA,CLAS,NA,NA
GEOL,NA,NA,NA,NA,NA
PHIL,NA,NA,PCA,EDUCS,GNDR
CONBI,NA,NA,STATS,NA,NA
BIOL,NA,NA,NA,NA,NA
GS,GOVT,NA,ARAB,NA,NA
GOVT,NA,NA,NA,NA,NA
GOVT,NA,NA,NA,NA,NA
SOC,NA,NA,PCA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
DMF,NA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
MFDBA,NA,NA,REL,NA,NA
SOC,NA,NA,NA,NA,NA
PHIL,NA,NA,NA,NA,NA
MATH,NA,NA,OUTDR,NA,NA
STAT,NA,NA,MATH,GRST,NA
ECON,BUSLA,NA,GS,NA,NA
PSYC,PUB,NA,HISP,NA,NA
BIOL,NA,NA,NA,NA,NA
MFDBA,NA,NA,NA,NA,NA
ECON,NA,NA,NA,NA,NA
ENVS,NA,NA,BIOL,NA,NA
ANTH,NA,NA,PCA,NA,NA
DATA,NA,NA,SOC,NA,NA
NRSCI,NA,NA,REL,NA,NA
ENVS,NA,NA,EDUCS,NA,NA
NRSCI,NA,NA,PUB,NA,NA
PSYC,BUSLA,NA,NA,NA,NA
PCA,BUSLA,NA,HISP,NA,NA
GOVT,HISP,NA,GNDR,NA,NA
EN_EC,NA,NA,NA,NA,NA
CS,MATH,NA,NA,NA,NA
PCA,NA,NA,EDUCS,NA,NA
BIOL,NA,NA,CHEM,GRST,NA
DMF,NA,NA,PCA,SSES,NA
PCA,FRST,NA,NA,NA,NA
GEOL,NA,NA,NA,NA,NA
BIOL,MULTL,NA,ARAB,NA,NA
BIMED,NA,NA,CHEM,NA,NA
CS,NA,NA,NA,NA,NA
MATH,NA,NA,PHYS,CS,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,NA,NA,NA
CONBI,NA,NA,NA,NA,NA
MUS,NA,NA,EDUCS,PHIL,NA
ECON,BUSLA,NA,NA,NA,NA
GS,NA,NA,PUB,SOC,NA
PSYC,NA,NA,ENG,NA,NA
ECON,BUSLA,NA,NA,NA,NA
PCA,NA,NA,CS,NA,NA
HIST,BUSLA,NA,NA,NA,NA
ANTH,NA,NA,PUB,NA,NA
FINC,NA,NA,GOVT,NA,NA
ENG,NA,NA,NA,NA,NA
PSYC,PUB,NA,BIOL,NA,NA
ECON,NA,NA,NA,NA,NA
HIST,NA,NA,MUS,NA,NA
CHEM,NA,NA,PHYS,NA,NA
GOVT,NA,NA,PHIL,NA,NA
HIST,BUSLA,NA,NA,NA,NA
CS,MATH,NA,NA,NA,NA
ENVS,NA,NA,NA,NA,NA
NRSCI,NA,NA,OUTDR,NA,NA
FINC,BUSLA,NA,NA,NA,NA
PSYC,NA,NA,SOC,PUB,NA
ART,PSYC,NA,EUR,NA,NA
GOVT,BUSLA,NA,NA,NA,NA
HIST,NA,NA,HISP,CNS,NA
PSYC,HIST,NA,PUB,NA,NA
PSYC,NA,NA,SSES,EDUCS,NA
EN_EN,NA,NA,CHIN,NA,NA
ECON,BUSLA,NA,STATS,NA,NA
PCA,NA,NA,EDUCS,NA,NA
ECON,BUSLA,NA,NA,NA,NA
ECON,BUSLA,NA,SSES,NA,NA
BIOL,BUSLA,NA,SSES,NA,NA
EN_BI,NA,NA,OUTDR,CS,ANTH
ECON,NA,NA,EDUCS,NA,NA
EN_MA,NA,NA,AFS,NA,NA
BIOL,BUSLA,NA,SSES,NA,NA
STAT,NA,NA,NA,NA,NA
SOC,HISP,NA,EDUCS,NA,NA
ECON,MATH,NA,STATS,NA,NA
EN_SO,NA,NA,NA,NA,NA
ENG,NA,NA,SOC,NA,NA
GOVT,NA,NA,STATS,NA,NA
ANTH,NA,NA,PUB,NA,NA
FINC,BUSLA,NA,NA,NA,NA
HIST,NA,NA,DMF,PHIL,NA
PCA,HISP,NA,CLAS,NA,NA
HIST,NA,NA,GOVT,NA,NA
PSYC,NA,NA,SSES,NA,NA
MULTL,MFDBA,NA,FRST,GNDR,ARAB
SOC,NA,NA,DMF,NA,NA
ECON,NA,NA,PCA,NA,NA
GOVT,ART,NA,NA,NA,NA
ENG,HIST,NA,BIOL,NA,NA
STAT,MATH,NA,CS,NA,NA
GOVT,NA,NA,GNDR,SOC,NA
ECON,NA,NA,NA,NA,NA
PSYC,PUB,NA,NA,NA,NA
PSYC,NA,NA,SOC,NA,NA
ENG,NA,NA,EDUCS,NA,NA
BIOL,NA,NA,ITAL,NA,NA
GOVT,NA,NA,AFS,ECON,NA
STAT,NA,NA,CS,NA,NA
NRSCI,HISP,NA,CHEM,NA,NA
CONBI,NA,NA,ITAL,NA,NA
EN_EN,NA,NA,NA,NA,NA
CS,MATH,NA,NA,NA,NA
STAT,MATH,NA,NA,NA,NA
PSYC,NA,NA,ENG,NA,NA
ENG,NA,NA,FLMS,NA,NA
PCA,BUSLA,NA,NA,NA,NA
PHYS,CS,NA,MATH,NA,NA
CHEM,NA,NA,SSES,NA,NA
GEOL,ANTH,NA,NA,NA,NA
PSYC,NA,NA,SSES,NA,NA
PSYC,NA,NA,BIOL,NA,NA
PSYC,NA,NA,SOC,PUB,NA
PSYC,FINC,BUSLA,NA,NA,NA
BIOL,NA,NA,SSES,NA,NA
ENG,ECON,NA,NA,NA,NA
SOC,NA,NA,NA,NA,NA
ECON,GS,BUSLA,NA,NA,NA
PSYC,ART,NA,REL,NA,NA
GS,BUSLA,NA,NA,NA,NA
